Date,Author,Title
2008,"Frankl, Viktor E. ",Man's Search for Meaning
2008,"Marx, Karl; Engels, Friedrich",The Communist Manifesto 
2008,"Nietzsche, Friedrich Wilhelm","Human, All Too Human; Beyond Good and Evil"
2008,"Perec, Georges",Species of Spaces and Other Pieces
2009,Brontë,Jane Eyre; Wuthering Heights; Agnes Grey; The Professor
2009,"Camus, Albert",The Plague
2009,"Dryzek, John S.; Dunleavy, P.", Theories of the Democratic State
2009,"Kant, Immanuel",Fundamental Principles of the Metaphysic of Morals
2009,"Strassler, Robert B. ",The Landmark Xenophon's Hellenika
2010,"Defoe, Daniel",Robinson Crusoe
2010,"Strassler, Robert B. ",The Landmark Arrian: The Campaigns of Alexander
2010,"Whitman, Walt",The Portable Walt Whitman
2011,"Darin, Charles",The Origin of the Species
2011,"Gilmour, David",The Pursuit of Italy
2011,"Gleick, James","The Information: A History, a Theory, a Flood"
2011,Homer,The Odyssey
2011,"Hume, David",The Essential Philosophical Works
2011,"Rilke, Rainer Maria",Letters to a Young Poet
2011,"Suny, Ronald Grigor","The Soviet Experiment: Russia, The USSR, and the Successor States"
2012,Aristotle,The Art of Rhetoric
2012,"Freud, Sigmund",A General Introduction to Psychoanalysis
2012,"Smith, Adam",Wealth of Nations
2013,"Anselm, Saint",Proslogion
2014,"Dalrymple, William","Return of A King: The Battle for Afghanistan, 1839-42"
2014,"Hobbes, Thomas",Leviathan
2014,"Kafka, Franz","The Trial, The Castle, Metamorphosis and other stories"
2014,"Locke, John",An Essay Concerning Human Understanding
2015,"Hooper, John",The Italians
2015,"McCarthy, Cormac",Blood Meridian
2015,Sappho,Come Close
2016,"Shakespeare, William",Is this a dagger which I see before me?
2017,"Strassler, Robert B. ","The Landmark Julius Caesar: The Complete Works (Gallic War, Civil War, Alexandrian War, African War, Spanish War)"
2017,"Twain, Mark",Following the Equator
2018,"Eco, Umberto",Il Nome Della Rosa
2018,"Peterson, Jordan B.",12 Rules For Life: An Antidote to Chaos 
2018,"Pinker, Steven","Enlightenment Now: The Case for Reason, Science, Humanism, and Progress"
2018,"Steinbeck, John",Diario Russo
2018,"Stuttard, David",Nemesis: Alcibiades and the Fall of Athens
2019,"Gaddis, John Lewis",On Grand Strategy
2021,"Peterson, Jordan B.",Beyond Order: 12 More Rules for Life
1890s,"Cowper, William",The Poetical Works of William Cowper
1913 (before),"Lytton, Hon. Lord",Harold
1947 (before),,"The Golden Pathway to A Treasury of Knowledge: Myths, Legends, and Fairy Tales"
1947,"Frye, Northrop",A Fearful Symmetry
1967,"Bulgakov, Mikhail",Master and Margarita 
1858,"Holmes, O. W. ",The Autocrat of the Breakfast Table
1653,"Walton, Izaak & Cotton, Charles",The Compleat Angler or The Contemplative Man's Recreation: Being a Discourse of Fish and Fishing not unworthy the Perusal of most Anglers
1951,"Conrad, Joseph (arranged by Harriet M. Capes)",Wisdom and Beauty from Conrad: An Anthology
1850,"Emerson, Ralph Waldo",Representative Men
1715,"Homer (Pope, Alexander)",The Iliad
1715,"Mann, Thomas",The Holy Sinner
1951,"Meredith, George",Lord Ormont and his Aminta
1894,"Pater, Walter",An Imaginary Portrait
1887,Plutarch,Plutarch's Lives: The Dryden Plutarch Revised by Arthur Hugh Clough: I  (Theseus; Romulus; Lycurgus; Numa Pompilius; Solon; Poplicola; Themistocles; Camillus; Pericles; Fabius; Alcibiades; Coriolanus; Timoleon; Aemilius Paulus; Pelopidas; Marcellus; Aristides; Marcus Cato)
1683,Plutarch,Plutarch's Lives: The Dryden Plutarch Revised by Arthur Hugh Clough: II (Philopoemen; Flaminius; Pyrrhus; Caius Marius; Lysander; Sylla; Cimon; Lucullus; Nicias; Crassus; Sertorius; Eumenes; Agesilaus; Pompey; Alexander; Caesar)
1683,Plutarch,Plutarch's Lives: The Dryden Plutarch Revised by Arthur Hugh Clough: III (Phocion; Cato the Younger; Agis; Cleomenes; Tiberius Gracchus; Caius Gracchus; Demosthenes; Cicero; Demetrius; Antony; Dion; Marcus Brutus; Aratus; Artaxerxes; Galba; Otho)
1895,"Shakespeare, William",The Complete Works of Wiliam Shakespeare
1896,"Sienkiewicz, Henryk",Quo Vadis? 
1855,"Whitman, Walt",Leaves of Grass and Selected Prose
